,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
187,Luka Milivojević,0.2571,0.116,,,,29.0,17.0,8.0,7.0,,
188,Luke Freeman,,,,,,3.0,,,,,
189,Andros Townsend,0.178,0.0918,0.1589,,0.1814,12.0,36.0,20.0,,20.0,
190,Jeffrey Schlupp,0.0967,0.087,0.1211,0.0944,0.1191,18.0,18.0,33.0,28.0,19.0,116.0
191,N'Golo Kanté,0.1167,0.08,0.0722,0.0,,18.0,10.0,17.0,8.0,,
192,Christian Fuchs,0.05,,,,,5.0,4.0,,,,
193,Olivier Giroud,0.1595,0.124,,,,39.0,29.0,,,,
194,Jamie Vardy,0.1365,0.0693,0.1232,0.0985,,84.0,73.0,54.0,27.0,,
195,Willian,0.1484,0.26,,0.2712,0.1438,67.0,20.0,,41.0,43.0,
196,Scott McTominay,0.086,0.1514,0.1143,0.005,0.0721,29.0,26.0,27.0,13.0,44.0,139.0
197,Rúben Neves,0.177,0.1277,0.1237,0.2,,61.0,64.0,42.0,63.0,,
198,Adama Traoré,0.145,0.0615,0.048,0.1743,0.1271,43.0,43.0,23.0,19.0,11.0,139.0
199,Aaron Wan-Bissaka,0.08,0.1775,0.12,0.035,-0.025,7.0,7.0,5.0,10.0,3.0,32.0
200,Jonny Castro,0.174,,0.148,0.1,,18.0,1.0,10.0,9.0,,
201,Frederic Guilbert,0.0567,,,,,8.0,,,,,
202,André Gomes,,0.1567,0.19,,0.185,5.0,14.0,14.0,,8.0,
203,Yerry Mina,0.1664,0.135,0.175,0.3425,,29.0,17.0,6.0,8.0,,
204,Alex Iwobi,0.074,0.1567,0.18,0.1573,0.1485,23.0,15.0,24.0,42.0,55.0,159.0
205,Morgan Schneiderlin,,,,,,6.0,,,,,
206,Theo Walcott,0.011,0.0109,,0.1114,,31.0,29.0,6.0,20.0,,
207,Andreas Christensen,-0.015,,,,,7.0,3.0,5.0,,,
208,César Azpilicueta,0.1717,0.125,0.25,0.18,,29.0,11.0,11.0,9.0,,
209,Mateo Kovačić,0.128,0.1175,0.2067,-0.01,0.132,21.0,23.0,22.0,23.0,22.0,111.0
210,Felipe Anderson,0.0487,,,,,23.0,,,,,
211,Angelo Ogbonna,0.17,0.15,0.56,,,13.0,13.0,3.0,3.0,1.0,33.0
212,Tom Cleverley,0.078,,0.1443,,,17.0,,12.0,,,
213,Andriy Yarmolenko,0.1746,0.035,0.088,,,26.0,7.0,11.0,,,
214,Ismaila Sarr,0.0423,,0.2007,,,44.0,,39.0,,,
215,Arthur Masuaku,0.08,-0.02,0.18,,,5.0,6.0,4.0,,,
216,Luke Shaw,0.04,0.125,0.07,0.145,,11.0,11.0,6.0,14.0,2.0,44.0
217,Ashley Young,,,0.06,0.08,0.115,3.0,,10.0,15.0,13.0,
218,Gary Cahill,0.086,-0.0367,,,,21.0,11.0,,,,
219,Harry Maguire,0.045,0.0989,0.076,,0.122,31.0,36.0,23.0,3.0,20.0,113.0
220,Patrick van Aanholt,0.066,0.104,,,,26.0,18.0,,,,
221,Dennis Praet,0.24,0.125,,0.225,,16.0,8.0,,5.0,,
222,Ravel Morrison,,,,,,1.0,,,,,
223,Martín Montoya,0.0833,,,,,8.0,,,,,
224,Moussa Djenepo,0.14,0.06,0.0,0.015,,20.0,14.0,11.0,3.0,,
225,Stuart Armstrong,0.103,0.0836,0.1211,0.0783,,46.0,55.0,38.0,23.0,,
226,Georginio Wijnaldum,0.12,0.05,,,,36.0,31.0,,,,
227,Nacho Monreal,,,,,,1.0,,,,,
228,David Luiz,0.2188,0.22,,,,23.0,15.0,,,,
229,Adam Smith,0.24,,,0.35,,4.0,,,5.0,2.0,
230,Dominic Solanke,0.1375,,,0.1746,0.1071,32.0,,,76.0,106.0,
231,Matt Doherty,0.1713,-0.12,0.2867,0.125,0.1733,35.0,3.0,16.0,10.0,9.0,73.0
232,Morgan Gibbs-White,,0.2325,,0.079,0.1431,2.0,10.0,2.0,60.0,70.0,144.0
233,Sean Longstaff,0.2314,-0.016,0.35,0.1614,0.1207,25.0,15.0,15.0,33.0,41.0,129.0
234,Son Heung-min,0.1416,0.174,0.1519,0.1474,0.1321,80.0,67.0,86.0,81.0,83.0,397.0
235,Giovani Lo Celso,0.12,0.13,,,0.1817,18.0,15.0,9.0,,13.0,
236,Ben Davies,0.3,,0.18,0.132,0.1,7.0,3.0,18.0,14.0,12.0,54.0
237,Sofiane Boufal,0.1114,,,,,18.0,,,,,
238,Andreas Pereira,0.1129,,,0.1509,0.1444,37.0,,,61.0,52.0,
239,Juan Mata,-0.075,0.0667,0.01,,,10.0,4.0,5.0,,,
240,Nemanja Matić,0.045,0.1867,0.05,,,7.0,6.0,6.0,,,
241,Jesse Lingard,-0.0183,0.1785,0.275,0.075,,22.0,40.0,8.0,10.0,,
242,Chris Basham,,0.01,,,,6.0,10.0,,,2.0,
243,Jetro Willems,0.165,,,,,14.0,,,,,
244,Christian Atsu,0.1,,,,,5.0,,,,,
245,Isaac Success,0.48,,,,,1.0,,,,,
246,Nathaniel Chalobah,,,,0.07,,9.0,,,1.0,,
247,Daryl Janmaat,,,,,,4.0,,,,,
248,Yoshinori Mutō,,,,,,1.0,,,,,
249,Çağlar Söyüncü,0.138,0.1567,-0.29,0.05,,17.0,10.0,8.0,5.0,,
250,Demarai Gray,0.1214,,0.0959,0.1268,,22.0,1.0,65.0,57.0,,
251,James McArthur,0.065,,0.2333,,,28.0,6.0,9.0,,,
252,Cheikhou Kouyaté,0.0375,-0.05,,0.11,0.14,24.0,7.0,7.0,6.0,5.0,49.0
253,Josip Drmić,-0.026,,,,,14.0,,,,,
254,Xherdan Shaqiri,0.41,,,,,4.0,11.0,,,,
255,Romain Saïss,0.1062,0.1345,0.0983,,,24.0,28.0,18.0,,,
256,Patrick Cutrone,0.265,,,,,11.0,1.0,,,,
257,Michael Keane,0.115,0.08,0.1733,0.1175,-0.015,14.0,16.0,20.0,14.0,6.0,70.0
258,Danny Rose,,,-0.03,,,2.0,,4.0,,,
259,Sead Kolašinac,,,,,,4.0,,,,,
260,Aaron Lennon,,,0.2575,,,1.0,,12.0,,,
261,Aaron Connolly,0.1285,0.1488,,,,38.0,23.0,2.0,,,
262,Jeff Hendrick,0.1233,0.295,0.31,,,22.0,10.0,1.0,,,
263,Cédric Soares,0.092,0.335,0.01,,,10.0,7.0,12.0,2.0,,
264,Lys Mousset,0.27,0.025,,,,37.0,4.0,,,,
265,Dean Henderson,,,,,,1.0,,,,,
266,Serge Aurier,0.1425,0.125,,0.0533,0.07,13.0,15.0,,9.0,6.0,
267,Joel Ward,-0.01,0.04,-0.01,-0.255,,5.0,2.0,10.0,8.0,10.0,35.0
268,Marcos Alonso,0.1375,0.15,0.161,,,30.0,22.0,43.0,,,
269,Antonio Rüdiger,0.1633,0.1167,0.0938,,,12.0,14.0,48.0,,,
270,Fikayo Tomori,0.1,,,,,7.0,,,,,
271,Michy Batshuayi,0.27,0.1667,,,,15.0,12.0,,,,
272,Kenny McLean,0.122,,0.1083,,,30.0,,33.0,,,
273,Sam Byram,0.01,,0.01,,,15.0,,7.0,,,
274,José Holebas,0.0267,,,,,6.0,,,,,
275,Christian Kabasele,-0.03,,,,,9.0,,7.0,,,
276,Mark Noble,0.1533,,,,,14.0,1.0,,,,
277,Keinan Davis,0.04,0.03,,,,17.0,9.0,,,,
278,Cenk Tosun,0.26,,,,,15.0,,,,,
279,Aaron Mooy,0.1425,,,,,33.0,,,,,
280,Yves Bissouma,0.2257,0.14,0.084,,0.2,16.0,42.0,21.0,6.0,24.0,109.0
281,Aaron Cresswell,0.156,0.1825,0.2133,0.29,,17.0,19.0,18.0,9.0,,
282,Bukayo Saka,0.215,0.1295,0.1162,0.1259,0.1497,13.0,61.0,95.0,86.0,102.0,357.0
283,Tyrone Mings,0.1067,0.2286,0.118,0.25,,8.0,19.0,21.0,7.0,1.0,56.0
284,Sokratis Papastathopoulos,0.2,,,,,7.0,,,,,
285,Calum Chambers,0.29,,0.66,,,12.0,8.0,5.0,2.0,,
286,Marvelous Nakamba,0.2,0.06,,,,7.0,2.0,,,5.0,
287,Conor Hourihane,0.152,0.4,,,,29.0,5.0,,,,
288,Leon Clarke,,,,,,1.0,,,,,
289,Steven Alzate,0.0467,0.26,0.07,,,13.0,7.0,1.0,,,
290,Adam Webster,0.1371,0.1514,0.165,0.03,,16.0,25.0,8.0,18.0,8.0,75.0
291,Eric Dier,0.01,0.09,0.005,0.14,,8.0,14.0,13.0,17.0,,
292,Danny Welbeck,0.1667,0.1507,0.199,0.0986,0.19,22.0,34.0,43.0,62.0,41.0,202.0
293,Pedro Neto,0.1633,0.0986,0.1775,0.14,0.1008,17.0,61.0,17.0,17.0,36.0,148.0
294,Fred,0.051,0.0571,0.1956,0.2,,40.0,25.0,15.0,26.0,,
295,Sebastian Prödl,,,,,,2.0,,,,,
296,John Egan,0.07,0.02,,,0.07,27.0,14.0,,,3.0,
297,Fabian Delph,,,,,,3.0,1.0,2.0,,,
298,Jamal Lewis,0.175,0.06,,,,9.0,3.0,,,,
299,Ibrahim Amadou,0.05,,,,,6.0,,,,,
300,Dejan Lovren,-0.02,,,,,5.0,,,,,
301,James McCarthy,0.05,,,,,12.0,1.0,,,,
302,Jack Stacey,0.02,,,,,5.0,,,1.0,,
303,Gabriel Martinelli,0.162,0.0488,0.1567,0.17,0.0785,12.0,20.0,51.0,79.0,58.0,220.0
304,Arnaut Danjuma,0.03,,,0.0267,0.2078,13.0,,,6.0,25.0,
305,Callum Hudson-Odoi,0.0175,0.2417,0.2186,,0.1935,21.0,23.0,18.0,,38.0,
306,Rúben Vinagre,,,,,,5.0,,,,,
307,João Cancelo,0.0267,0.1345,0.0778,0.05,,15.0,35.0,81.0,17.0,,
308,Fernandinho,0.03,-0.01,0.1333,,,17.0,14.0,18.0,,,
309,Matthew Longstaff,0.365,,,,,4.0,,,,,
310,Andy Carroll,0.0667,-0.02,,,,16.0,14.0,,,,
311,Marcos Rojo,,,,,,1.0,,,,,
312,Tom Davies,0.038,,0.245,0.28,0.64,17.0,7.0,6.0,9.0,4.0,43.0
313,Dele Alli,0.1444,0.0575,0.125,,,41.0,12.0,6.0,,,
314,Matt Targett,0.005,0.02,0.012,,,7.0,6.0,13.0,1.0,,
315,Robbie Brady,0.27,0.132,,,,12.0,16.0,,,,
316,João Moutinho,0.2167,0.105,0.1586,0.2667,,22.0,14.0,20.0,16.0,,
317,Kevin Danso,,,,,,1.0,,,,,
318,Ciaran Clark,0.22,0.07,0.02,,,6.0,8.0,7.0,,,
319,Adam Lallana,0.32,0.11,0.1225,0.242,0.095,5.0,22.0,19.0,8.0,11.0,65.0
320,Benjamin Mendy,0.05,0.3,,,,10.0,6.0,,,,
321,John Stones,0.14,0.084,0.058,0.1833,0.125,6.0,15.0,9.0,11.0,4.0,45.0
322,Phil Foden,0.0936,0.1405,0.145,0.1632,0.1856,34.0,45.0,57.0,46.0,105.0,287.0
323,Fabián Balbuena,0.1875,0.2,,,,10.0,8.0,,,,
324,Matěj Vydra,0.125,0.11,0.1229,,,18.0,35.0,19.0,,,
325,Reece James,0.1067,0.0864,0.222,0.0375,0.2,18.0,34.0,37.0,16.0,7.0,112.0
326,Kieran Tierney,0.335,0.0833,0.108,0.11,,6.0,15.0,15.0,7.0,,
327,Federico Fernández,0.0971,0.03,0.29,,,15.0,4.0,6.0,,,
328,Ezequiel Schelotto,0.03,,,,,4.0,,,,,
329,Adrian Mariappa,,,,,,3.0,,,,,
330,Adam Masina,0.09,,,,,15.0,,5.0,,,
331,Ben Foster,0.24,,,,,1.0,,,,,
332,Alexander Tettey,0.21,,,,,23.0,,,,,
