,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
17,67.0,Kaoru Mitoma,Brighton,0.04,0.06,Saved,14.0,Left Foot,,James Milner,Pass (Dead),Kaoru Mitoma,Fouled
18,72.0,Simon Adingra,Brighton,0.1,0.0,Blocked,13.0,Right Foot,,James Milner,Pass (Live),Simon Adingra,Pass (Live)
19,87.0,Simon Adingra,Brighton,0.07,0.47,Goal,17.0,Left Foot,,Danny Welbeck,Pass (Live),Jack Hinshelwood,Pass (Live)
0,5,Antoine Semenyo,Bournemouth,0.06,0.0,Blocked,22.0,Right Foot,,Alex Scott,Tackle,,
1,5,Dango Ouattara,Bournemouth,0.22,0.0,Off Target,5.0,Head,,Lewis Cook,Pass (Dead),Antoine Semenyo,Shot
2,18,Morgan Gibbs-White,Nott'ham Forest,0.02,0.0,Off Target,28.0,Right Foot,,Callum Hudson-Odoi,Pass (Live),Ola Aina,Pass (Live)
3,23,Ryan Yates,Nott'ham Forest,0.13,0.17,Saved,17.0,Right Foot,,Anthony Elanga,Pass (Live),Ryan Yates,Pass (Live)
4,23,Chris Wood,Nott'ham Forest,0.71,0.95,Goal,8.0,Right Foot,,Ryan Yates,Shot,,
5,27,Ola Aina,Nott'ham Forest,0.02,0.0,Off Target,29.0,Right Foot,,Morgan Gibbs-White,Pass (Live),Callum Hudson-Odoi,Pass (Live)
6,30,Anthony Elanga,Nott'ham Forest,0.02,0.07,Saved,30.0,Right Foot,,Morgan Gibbs-White,Pass (Live),Anthony Elanga,Pass (Live)
7,31,Callum Hudson-Odoi,Nott'ham Forest,0.02,0.01,Saved,26.0,Right Foot,,Anthony Elanga,Shot,,
8,31,Luis Sinisterra,Bournemouth,0.04,0.0,Blocked,23.0,Left Foot,Deflected,Marcus Tavernier,Pass (Live),Milos Kerkez,Pass (Live)
9,41,Ryan Yates,Nott'ham Forest,0.05,0.0,Blocked,25.0,Right Foot,,Callum Hudson-Odoi,Pass (Live),Morgan Gibbs-White,Pass (Live)
10,41,Neco Williams,Nott'ham Forest,0.03,0.0,Off Target,14.0,Right Foot,,Anthony Elanga,Pass (Live),Ryan Yates,Shot
11,45+1,Antoine Semenyo,Bournemouth,0.03,0.0,Off Target,19.0,Left Foot,,Marcus Tavernier,Pass (Live),Dango Ouattara,Pass (Live)
12,45+7,Callum Hudson-Odoi,Nott'ham Forest,0.04,0.32,Saved,14.0,Right Foot,,Anthony Elanga,Pass (Live),Callum Hudson-Odoi,Pass (Live)
13,45+7,Luis Sinisterra,Bournemouth,0.12,0.19,Saved,12.0,Left Foot,,Marcus Tavernier,Pass (Live),,
