,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
12,47,João Moutinho,Wolves,0.04,,Off Target,28.0,Right Foot,,Adama Traoré,Shot,,
13,51,Francisco Trincão,Wolves,0.07,,Blocked,11.0,Left Foot,,Rúben Neves,Pass (Live),Francisco Trincão,Pass (Live)
14,53,Raúl Jiménez,Wolves,0.04,,Off Target,13.0,Head,,Fernando Marçal,Pass (Live),Adama Traoré,Pass (Live)
15,57,Ki-Jana Hoever,Wolves,0.04,,Off Target,18.0,Right Foot,,Francisco Trincão,Pass (Live),Ki-Jana Hoever,Pass (Live)
16,61,Adama Traoré,Wolves,0.02,,Blocked,27.0,Right Foot,,Francisco Trincão,Pass (Live),Francisco Trincão,Take-On
17,65,Raúl Jiménez,Wolves,0.07,,Off Target,9.0,Head,,Ki-Jana Hoever,Pass (Live),Rúben Neves,Pass (Live)
18,67,Adama Traoré,Wolves,0.13,0.03,Saved,16.0,Right Foot,Volley,Adama Traoré,Take-On,Romain Saïss,Pass (Live)
19,73,Francisco Trincão,Wolves,0.02,0.17,Saved,28.0,Left Foot,,Raúl Jiménez,Pass (Live),Francisco Trincão,Pass (Live)
20,77,Jamie Vardy,Leicester City,0.05,,Off Target,17.0,Right Foot,,Youri Tielemans,Pass (Live),Kelechi Iheanacho,Pass (Live)
21,79,Adama Traoré,Wolves,0.03,,Blocked,17.0,Left Foot,,,,,
22,87,Max Kilman,Wolves,0.1,,Blocked,6.0,Left Foot,,Max Kilman,Take-On,Raúl Jiménez,Pass (Live)
23,87,Max Kilman,Wolves,0.06,0.02,Saved,10.0,Head,,Rúben Neves,Pass (Live),Ki-Jana Hoever,Pass (Live)
24,88,Morgan Gibbs-White,Wolves,0.11,,Blocked,17.0,Left Foot,,Adama Traoré,Pass (Live),Fernando Marçal,Pass (Live)
25,89,Raúl Jiménez,Wolves,0.05,,Off Target,15.0,Right Foot,Volley,Morgan Gibbs-White,Shot,,
26,90+2,Kelechi Iheanacho,Leicester City,0.06,,Blocked,22.0,Left Foot,,Jamie Vardy,Pass (Live),Youri Tielemans,Pass (Live)
0,7.0,César Azpilicueta,Chelsea,0.03,,Off Target,20.0,Right Foot,,Mason Mount,Pass (Live),César Azpilicueta,Pass (Live)
1,10.0,Christian Pulisic,Chelsea,0.04,0.03,Saved,12.0,Head,,Marcos Alonso,Pass (Live),Mateo Kovačić,Pass (Live)
2,13.0,Mateo Kovačić,Chelsea,0.02,,Off Target,23.0,Right Foot,,Timo Werner,Pass (Live),Marcos Alonso,Pass (Dead)
3,15.0,Mason Mount,Chelsea,0.04,0.08,Saved,25.0,Right Foot,Free kick,Mason Mount,Fouled,Mateo Kovačić,Shot
4,22.0,Mateo Kovačić,Chelsea,0.01,,Off Target,30.0,Right Foot,Volley,César Azpilicueta,Pass (Live),Andreas Christensen,Pass (Live)
5,27.0,Marcos Alonso,Chelsea,0.05,0.27,Goal,24.0,Left Foot,Free kick,Mason Mount,Fouled,César Azpilicueta,Pass (Live)
6,34.0,Mason Mount,Chelsea,0.07,,Blocked,27.0,Right Foot,Free kick,Christian Pulisic,Fouled,Jorginho,Pass (Live)
7,40.0,Christian Pulisic,Chelsea,0.22,0.86,Goal,7.0,Left Foot,,César Azpilicueta,Pass (Live),Mason Mount,Pass (Live)
8,44.0,Timo Werner,Chelsea,0.08,,Off Target,8.0,Right Foot,,Marcos Alonso,Pass (Live),Jorginho,Pass (Live)
9,,,,,,,,,,,,,
10,47.0,Marcos Alonso,Chelsea,0.02,0.08,Saved,15.0,Left Foot,Volley,Jorginho,Pass (Live),Mason Mount,Pass (Live)
11,48.0,Marcos Alonso,Chelsea,0.06,,Off Target,27.0,Left Foot,Free kick,Mason Mount,Fouled,Marcos Alonso,Shot
